Aileen (np) 	Aileen (np.ant) 
Ailsa (np) 	Ailsa (np.ant) 
aim	apuntar (vblex) 
aim	asomar (vblex) 
aim	dirigir (vblex) 
Aimee (np) 	Aimee (np.ant) 
Aimée (np) 	Aimée (np.ant) 
Aimé (np) 	Aimé (np.ant) 
aim	objetivo (n.m) 
Aimón (np) 	Aimón (np.ant) 
Ainara (np) 	Ainara (np.ant) 
Ainará (np) 	Ainará (np.ant) 
Aingeru (np) 	Aingeru (np.ant) 
Ainhoa	Ainhoa (np) 
Ainhoa_Arteta (np) 	Ainhoa_Arteta (np.ant) 
Ainsley (np) 	Ainsley (np.ant) 
Aintzane (np) 	Aintzane (np.ant) 
air	aire (n.m) 
aircraft	aeronave (n.f) 
airfield	aeródromo (n.m) 
airline	aerolínea (n.f) 
airliner	avión (n.m) 
airplane	avión (n.m) 
airport	aeropuerto (n.m) 
airship	dirigible (n.m) 
Aisha (np) 	Aisha (np.ant) 
Aitana (np) 	Aitana (np.ant) 
Aitor	Aitor (np) 
Aitor (np) 	Aitor (np.ant) 
Aixa (np) 	Aixa (np.ant) 
Aiyana (np) 	Aiyana (np.ant) 
Aja (np) 	Aja (np.ant) 
Ajmet (np) 	Ajmet (np.ant) 
Akemi (np) 	Akemi (np.ant) 
akin	semejante (adj.mf) 
Akira (np) 	Akira (np.ant) 
Alabama (np) 	Alabama (np.loc.f) 
alabaster	alabastro (n.m) 
alacrity	alacridad (n.f) 
Aladino (np) 	Aladino (np.ant) 
Alaide (np) 	Alaide (np.ant) 
Alaina (np) 	Alaina (np.ant) 
Alain (np) 	Alain (np.ant) 
Alais (np) 	Alais (np.ant) 
Alan	Alan (np) 
Alana (np) 	Alana (np.ant) 
Alan_García_Pérez (np) 	Alan_García_Pérez (np.ant) 
Alanis (np) 	Alanis (np.ant) 
Alanna (np) 	Alanna (np.ant) 
Alan (np) 	Alan (np.ant) 
Alano (np) 	Alano (np.ant) 
Alaomena (np) 	Alaomena (np.ant) 
Alaor (np) 	Alaor (np.ant) 
Alarcón (np) 	Alarcón (np.cog.mf) 
Alarico (np) 	Alarico (np.ant) 
alarm	alarma (n.f) 
alarm	alarmar (vblex) 
alarming	alarmante (adj.mf) 
alarmism	alarmismo (n.m) 
Alasdair (np) 	Alasdair (np.ant) 
Alaska (np) 	Alaska (np.loc.f) 
Alayna (np) 	Alayna (np.ant) 
Alba	Alba (np) 
Albana (np) 	Albana (np.ant) 
albanian	albanés (adj) 
Albanian	albanés (n) 
Albanian	albanés (n.GD) 
Albania (np) 	Albania (np.loc.f) 
Albán (np) 	Albán (np.ant) 
Albano (np) 	Albano (np.ant) 
Alba (np) 	Alba (np.ant) 
Albar (np) 	Albar (np.ant) 
Albaro (np) 	Albaro (np.ant) 
albatross	albatros (n.m) 
albedo	albedo (n.m) 
Albelda (np) 	Albelda (np.cog.mf) 
Alberde (np) 	Alberde (np.ant) 
Albere (np) 	Albere (np.ant) 
Alberico (np) 	Alberico (np.ant) 
Albero (np) 	Albero (np.cog.mf) 
Albert	Albert (np) 
Albert_Camus (np) 	Albert_Camus (np.ant) 
Alberte (np) 	Alberte (np.ant) 
Albert_II_of_Monaco (np) 	Alberto_II_de_Mónaco (np.ant) 
Albertina (np) 	Albertina (np.ant) 
Albertine (np) 	Albertine (np.ant) 
Albert_I_of_Monaco (np) 	Alberto_I_de_Mónaco (np.ant) 
Albert (np) 	Albert (np.ant) 
Alberto	Alberto (np) 
Albert_of_Monaco (np) 	Alberto_de_Mónaco (np.ant) 
Alberto (np) 	Alberto (np.ant) 
Albicio (np) 	Albicio (np.ant) 
Albida (np) 	Albida (np.ant) 
Albina (np) 	Albina (np.ant) 
